premise,hypothesis,label
"A woman with a green headscarf, blue shirt and a very big grin.",The woman is not sad,0
"A woman with a green headscarf, blue shirt and a very big grin.",The woman is going to buy a shirt and headscarf,1
This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir not singing at a book store,0
A land rover is being driven across a river.,The land rover is not driven by a man,1
A man playing an electric guitar on stage.,The man is not performing for charity,1
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",The tan girl with a wool hat is not sitting on the ground,0
3 young man in hoods standing in the middle of a quiet street facing the camera.,3 young man in hoods are not talking to each other,1
3 young man in hoods standing in the middle of a quiet street facing the camera.,3 young man in hoods are not facing against the camera,0
A man reads the paper in a bar with green lighting.,A man is not having a drink in the bar,1
A man reads the paper in a bar with green lighting.,A man is not reading in dark,0
A couple walk hand in hand down a street.,The couple is not living together,1
A couple walk hand in hand down a street.,The couple is not walking away from each other,0
Male in a blue jacket decides to lay in the grass.,Male in a blue jacket is not tired,1
Male in a blue jacket decides to lay in the grass.,Male in a blue jacket is not sitting on the grass.,0
An older women tending to a garden.,The women is not fond of baking,1
A man in a black shirt is looking at a bike in a workshop.,The man is not buying the bike for himself,1
A man in a black shirt is looking at a bike in a workshop.,The man in a black shirt is not looking at a bike in a bikeshop,0
A person on a horse jumps over a broken down airplane.,The person is not fond of archery,1
Children smiling and waving at camera,The children are not shy of the camera,0
A boy is jumping on skateboard in the middle of a red bridge.,The boy will do a skateboarding trick.,1
A boy is jumping on skateboard in the middle of a red bridge.,The boy is not wearing the safety equipement,1
An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,The coffee shop serves juices and coffee,0
An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,The old man does not like coffee,1
Two blond women are hugging one another.,The women are not fighting with each other,0
"A few people in a restaurant setting, one of them is drinking orange juice.",The people are not drinking wine,1
"A few people in a restaurant setting, one of them is drinking orange juice.",A person is drinking orange juice,0
Two women who just had lunch hugging and saying goodbye.,There are three woman in this picture,2
Two women who just had lunch hugging and saying goodbye.,Both the women are about to leave,0
"A man, woman, and child enjoying themselves on a beach.",The family will go to the beach tomorrow,1
People waiting to get on a train or just getting off.,The people are waiting for their food,2
A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green shirt,2
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a stop sign.,2
A blond man is drinking from a public fountain.,The man is drinking fountain drink.,2
Closeup image of a dog swimming.,A camera takes a photo of a puppy.,0
The furry brown dog is swimming in the ocean.,A dog is not running around the yard.,0
A big brown dog swims towards the camera.,A dog swims towards the underwater camera.,2
"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The woman wearing a gray hat is driving a horse-drawn cart.,2
A farmer fertilizing his garden with manure with a horse and wagon.,The man is not in an open field with a horse and wagon.,0
A dog drops a red disc on a beach.,a dog drops a colorful disc,2
Bicyclists waiting at an intersection.,Bicyclists should wait for car to pass.,2
Man in gold pants looking at the camera.,Man not looking at a woman,0
Two older men are talking.,Three people are having a conversation.,2
A busy city that looks like New York City.,The city has a lot of man in it.,2
Firemen emerge from a subway station.,The firemen are working,2
A woman on the side of a street is making food on her cart.,A person is cooking street food.,1
A man is sleeping on the grass.,The man is not in a 4 star hotel,0
White small child wearing a brown and gray striped hoodie plays at park.,A child want to play at a park.,2
A man in a blue shirt is looking up.,A person looks up at a dog,2
Woman at Walmart check-out having her groceries bagged by an employee.,The woman is not in Target,0
A young boy paddles across the water in a makeshift boat.,A boy is not swimming.,0